Date, Open, High, Low, Close, Volume
05/12/21, 251.41, 253.72, 249.68, 250.83, 2432107
05/11/21, 253.16, 255.96, 251.62, 252.30, 2307165
05/10/21, 256.00, 258.81, 252.06, 252.62, 4079879
05/07/21, 251.78, 255.73, 251.78, 254.21, 2513035
05/06/21, 249.28, 251.48, 246.96, 251.30, 2790864
05/05/21, 246.29, 249.98, 245.91, 249.35, 2765160
05/04/21, 247.27, 247.58, 242.87, 247.36, 3556137
05/03/21, 240.67, 247.02, 240.55, 245.38, 3587668
04/30/21, 234.27, 240.66, 234.20, 239.64, 3420870
04/29/21, 235.07, 236.00, 231.03, 234.71, 4053469
04/28/21, 241.52, 243.97, 233.76, 236.71, 7550765
04/27/21, 255.189, 256.53, 253.76, 255.13, 2184917
04/26/21, 256.65, 256.75, 254.415, 255.52, 1782679
04/23/21, 254.98, 258.14, 253.67, 257.03, 2427125
04/22/21, 257.54, 258.475, 253.66, 255.05, 3370746
04/21/21, 260.41, 261.00, 257.75, 258.78, 2173640
04/20/21, 254.84, 260.36, 254.84, 259.14, 1579344
04/19/21, 252.85, 256.11, 252.64, 255.97, 2345158
04/16/21, 256.44, 258.82, 254.67, 255.71, 2768721
04/15/21, 251.10, 257.00, 250.50, 255.13, 2366334
04/14/21, 249.98, 251.50, 249.00, 249.62, 1753827
04/13/21, 249.15, 250.35, 247.09, 249.95, 1766133
04/12/21, 248.52, 250.00, 247.79, 248.94, 1721957
04/09/21, 247.71, 249.10, 245.81, 248.95, 1368801
04/08/21, 249.10, 249.4802, 245.98, 246.88, 1633607
04/07/21, 248.17, 250.22, 247.10, 248.12, 1583660
04/06/21, 251.74, 252.54, 248.24, 249.10, 2040112
04/05/21, 249.06, 252.63, 249.06, 252.02, 2230560
04/01/21, 249.73, 250.00, 246.405, 249.17, 2176998
03/31/21, 249.23, 249.95, 247.36, 248.81, 3571906
03/30/21, 253.18, 254.0075, 248.83, 249.75, 1979016
03/29/21, 251.53, 256.595, 251.45, 254.96, 2488137
03/26/21, 245.97, 253.28, 245.54, 252.86, 2638907
03/25/21, 247.04, 247.54, 244.98, 246.25, 2707589
03/24/21, 245.00, 247.389, 243.82, 245.47, 2237559
03/23/21, 249.99, 250.00, 244.90, 245.04, 2604813
03/22/21, 242.36, 249.77, 242.36, 249.69, 2059794
03/19/21, 245.74, 247.40, 241.63, 245.94, 12589900
03/18/21, 240.50, 247.14, 240.50, 244.42, 3063186
03/17/21, 240.31, 245.90, 239.22, 244.27, 3255538
03/16/21, 238.115, 242.02, 236.62, 240.32, 3386304
03/15/21, 230.00, 236.16, 229.80, 235.96, 2911063
03/12/21, 230.24, 230.76, 228.69, 230.36, 1752641
03/11/21, 230.66, 233.96, 228.7781, 231.17, 2244070
03/10/21, 231.464, 233.49, 229.02, 229.96, 2310089
03/09/21, 230.00, 233.12, 228.78, 228.99, 3057261
03/08/21, 228.08, 232.20, 226.70, 227.81, 3101301
03/05/21, 222.45, 228.15, 221.45, 227.73, 3021305
03/04/21, 227.82, 227.87, 220.2533, 221.91, 3577020
03/03/21, 223.52, 225.6878, 221.31, 223.94, 2610773
03/02/21, 227.00, 227.89, 225.28, 225.69, 2407767
03/01/21, 225.88, 227.9289, 225.23, 227.04, 2178149
02/26/21, 230.3134, 230.3134, 223.615, 224.92, 3453588
02/25/21, 229.99, 230.50, 226.90, 227.52, 2769238
