Date, Open, High, Low, Close, Volume
05/12/21, 203.59, 203.70, 198.77, 198.87, 2230600
05/11/21, 206.60, 206.91, 202.40, 203.72, 2552787
05/10/21, 205.00, 208.95, 204.06, 207.33, 3212744
05/07/21, 202.31, 203.87, 201.24, 203.07, 1843826
05/06/21, 201.28, 202.51, 200.4601, 202.41, 1840761
05/05/21, 200.00, 201.7195, 197.88, 201.44, 2018536
05/04/21, 198.49, 199.56, 197.5426, 199.38, 1878969
05/03/21, 197.99, 199.47, 196.66, 198.61, 1779899
04/30/21, 197.66, 198.99, 196.13, 197.14, 2507080
04/29/21, 196.81, 199.41, 196.27, 199.05, 1887105
04/28/21, 195.00, 197.31, 194.81, 195.93, 2516938
04/27/21, 191.51, 195.86, 188.63, 194.45, 5224962
04/26/21, 202.98, 202.99, 199.58, 199.63, 2578886
04/23/21, 201.00, 203.155, 200.99, 202.20, 1864611
04/22/21, 200.67, 202.17, 200.18, 200.90, 2215918
04/21/21, 198.30, 201.50, 198.12, 200.88, 2649021
04/20/21, 198.94, 199.35, 197.44, 198.30, 1653197
04/19/21, 198.11, 198.69, 196.67, 198.59, 2200525
04/16/21, 198.72, 199.67, 197.98, 198.58, 2769567
04/15/21, 197.28, 197.81, 195.9101, 197.48, 1461700
04/14/21, 195.55, 197.39, 195.015, 196.75, 1575034
04/13/21, 196.01, 197.33, 195.37, 196.47, 2259885
04/12/21, 198.20, 199.29, 197.06, 197.83, 1682186
04/09/21, 196.06, 198.96, 196.06, 198.00, 2159859
04/08/21, 194.42, 196.665, 194.03, 195.72, 2391893
04/07/21, 194.16, 195.35, 193.92, 194.95, 1501599
04/06/21, 195.00, 195.6082, 193.99, 194.84, 1472732
04/05/21, 193.89, 195.95, 193.71, 194.97, 1963131
04/01/21, 193.25, 193.92, 190.84, 192.70, 1902344
03/31/21, 193.94, 194.425, 192.05, 192.68, 2426854
03/30/21, 194.98, 196.63, 193.88, 194.64, 1876659
03/29/21, 193.62, 196.72, 193.51, 195.74, 2601919
03/26/21, 193.01, 194.95, 192.21, 194.88, 2677843
03/25/21, 191.64, 193.36, 190.17, 193.10, 2221235
03/24/21, 188.43, 192.74, 188.083, 190.69, 2829189
03/23/21, 188.77, 191.71, 187.90, 188.33, 2768726
03/22/21, 188.26, 189.76, 187.01, 189.47, 2605333
03/19/21, 190.60, 191.00, 188.69, 188.71, 6678852
03/18/21, 188.60, 192.09, 188.60, 191.00, 3050490
03/17/21, 187.33, 189.99, 187.05, 188.30, 2585123
03/16/21, 188.00, 188.46, 185.98, 186.85, 2264001
03/15/21, 186.03, 189.63, 185.71, 189.48, 3300362
03/12/21, 185.61, 186.21, 184.27, 184.92, 2691612
03/11/21, 183.13, 185.07, 182.0959, 184.57, 2377493
03/10/21, 182.37, 185.38, 181.41, 184.51, 2370679
03/09/21, 183.50, 184.15, 181.02, 181.18, 2842101
03/08/21, 180.99, 185.70, 180.93, 183.77, 2574984
03/05/21, 178.45, 181.56, 176.95, 180.80, 2262764
03/04/21, 179.29, 180.18, 174.07, 177.63, 3535732
03/03/21, 177.43, 180.02, 176.80, 178.06, 2267840
03/02/21, 177.00, 177.79, 174.79, 177.11, 2272478
03/01/21, 175.70, 177.50, 175.70, 176.41, 1840081
02/26/21, 179.44, 179.45, 174.605, 175.06, 3363387
02/25/21, 177.52, 180.75, 177.43, 178.76, 2634298
02/24/21, 176.00, 177.98, 173.76, 177.63, 2742552
02/23/21, 177.54, 177.54, 174.71, 176.17, 2352428
02/22/21, 176.46, 177.09, 175.01, 176.12, 2271502
02/19/21, 179.57, 180.77, 176.20, 176.54, 2986839
02/18/21, 177.25, 179.67, 176.15, 179.37, 2088619
02/17/21, 176.05, 177.30, 175.14, 176.65, 1578242
02/16/21, 179.00, 179.69, 176.3242, 176.63, 1834033
02/12/21, 177.27, 178.84, 177.205, 178.70, 1081644
02/11/21, 179.35, 179.875, 175.84, 177.21, 2188357
02/10/21, 181.88, 182.38, 180.64, 181.08, 1929013
02/09/21, 181.22, 181.90, 180.18, 180.94, 1942829
02/08/21, 179.30, 180.87, 179.17, 180.76, 2355218
02/05/21, 177.60, 179.2297, 176.70, 179.01, 1822437
