Date, Open, High, Low, Close, Volume
05/12/21, 213.34, 213.3699, 209.00, 210.54, 5482463
05/11/21, 209.00, 216.565, 208.91, 215.56, 6097853
05/10/21, 215.498, 215.96, 213.23, 213.89, 5263698
05/07/21, 220.51, 221.2462, 215.09, 216.50, 5774748
05/06/21, 215.805, 218.28, 213.50, 218.05, 5200021
05/05/21, 218.82, 219.5666, 214.84, 215.40, 4205781
05/04/21, 221.67, 222.00, 214.3601, 217.18, 6727513
05/03/21, 230.77, 231.46, 223.07, 223.76, 5835707
04/30/21, 232.80, 234.50, 229.52, 230.32, 5024797
04/29/21, 237.32, 237.67, 232.17, 234.36, 4140803
04/28/21, 235.00, 238.33, 233.53, 236.88, 4274512
04/27/21, 235.46, 235.90, 231.91, 234.21, 3445222
04/26/21, 234.04, 235.8044, 232.4155, 235.46, 3459634
04/23/21, 232.94, 235.49, 231.75, 233.51, 5448503
04/22/21, 230.00, 233.89, 229.01, 231.35, 4975361
04/21/21, 227.11, 230.79, 226.67, 230.56, 4024031
04/20/21, 230.00, 231.45, 226.89, 227.96, 4081214
04/19/21, 230.83, 232.1953, 228.87, 230.50, 4257749
04/16/21, 234.00, 234.00, 229.8935, 231.91, 5088749
04/15/21, 229.87, 233.08, 229.50, 233.00, 5073856
04/14/21, 232.85, 233.14, 227.66, 228.02, 4617597
04/13/21, 229.00, 233.49, 228.50, 232.00, 5397052
04/12/21, 229.52, 229.85, 227.15, 228.76, 6205676
04/09/21, 224.33, 231.31, 223.63, 231.28, 7319270
04/08/21, 223.00, 225.71, 222.45, 224.45, 6169133
04/07/21, 221.96, 222.68, 219.39, 220.79, 4403436
04/06/21, 219.82, 221.55, 218.25, 221.09, 5448464
04/05/21, 219.61, 221.84, 218.93, 220.29, 5553185
04/01/21, 213.60, 218.93, 213.37, 218.72, 7763501
03/31/21, 210.44, 213.6699, 210.11, 211.87, 6837964
03/30/21, 208.64, 211.29, 207.355, 210.00, 4717943
03/29/21, 209.01, 211.652, 205.99, 210.77, 5686945
03/26/21, 205.64, 209.41, 204.77, 209.09, 7333155
03/25/21, 206.17, 208.17, 204.37, 205.44, 7977209
03/24/21, 215.13, 215.28, 209.41, 209.53, 4617736
03/23/21, 214.76, 217.43, 214.33, 215.00, 4578046
03/22/21, 211.48, 216.98, 211.365, 215.17, 5002466
03/19/21, 209.81, 212.75, 209.07, 212.20, 7088442
03/18/21, 210.70, 211.38, 208.40, 209.48, 5583153
03/17/21, 213.52, 214.81, 210.86, 213.12, 5805143
03/16/21, 214.84, 216.69, 213.475, 214.48, 5311048
03/15/21, 211.85, 212.94, 209.50, 212.80, 5741240
03/12/21, 213.45, 213.85, 209.30, 212.21, 6114641
03/11/21, 215.00, 218.17, 214.3537, 215.95, 6430984
03/10/21, 214.72, 216.15, 211.77, 211.96, 7186394
03/09/21, 212.18, 215.79, 211.17, 211.53, 9732242
03/08/21, 213.62, 214.90, 207.57, 207.72, 9576414
03/05/21, 210.01, 212.35, 203.22, 210.76, 11405950
03/04/21, 206.84, 209.09, 201.51, 205.33, 12800550
03/03/21, 212.83, 213.32, 205.395, 206.00, 11459020
03/02/21, 218.40, 218.60, 213.34, 213.47, 10211490
03/01/21, 219.90, 220.20, 215.03, 217.54, 14027680
02/26/21, 229.39, 230.50, 216.34, 216.50, 20372920
02/25/21, 238.53, 240.35, 229.77, 231.08, 8828937
02/24/21, 235.53, 241.50, 231.51, 240.47, 6128260
02/23/21, 235.26, 238.96, 229.01, 235.64, 8641607
02/22/21, 244.26, 244.52, 240.38, 240.95, 5055001
02/19/21, 248.00, 249.39, 245.98, 246.56, 4647670
02/18/21, 245.97, 248.01, 242.5701, 247.01, 4159075
02/17/21, 248.59, 249.50, 245.50, 247.66, 5907885
02/16/21, 245.00, 251.23, 243.80, 248.59, 10837610
02/12/21, 240.95, 241.56, 238.91, 240.37, 4314439
02/11/21, 238.93, 242.89, 238.58, 241.24, 6091619
02/10/21, 237.45, 238.22, 233.96, 236.72, 5535571
02/09/21, 239.56, 240.08, 236.2366, 236.70, 5157234
02/08/21, 239.51, 241.11, 237.13, 238.93, 4336360
02/05/21, 239.15, 239.36, 236.41, 238.89, 5019976
02/04/21, 235.52, 238.23, 235.47, 237.98, 4770722
02/03/21, 235.00, 236.00, 232.26, 234.82, 5357550
02/02/21, 231.47, 235.95, 231.38, 234.20, 7134891
02/01/21, 227.21, 229.90, 224.745, 228.46, 5696684
01/29/21, 224.66, 228.79, 223.02, 225.56, 6472983
01/28/21, 225.00, 229.60, 225.00, 226.50, 7246045
01/27/21, 223.70, 227.81, 221.58, 224.78, 7641060
01/26/21, 227.80, 227.91, 224.54, 226.26, 5021036
01/25/21, 229.69, 230.30, 221.32, 225.92, 8213455
01/22/21, 224.90, 227.79, 223.75, 225.77, 10186080
01/21/21, 223.69, 224.74, 220.82, 222.17, 6800810
01/20/21, 221.99, 224.64, 219.97, 223.44, 9857747
01/19/21, 215.35, 217.28, 213.70, 216.76, 7753752
01/15/21, 216.17, 217.87, 212.985, 213.14, 8525598
01/14/21, 218.23, 219.50, 215.55, 215.60, 6548025
01/13/21, 217.00, 218.90, 215.53, 218.18, 6839171
01/12/21, 218.00, 218.30, 214.09, 215.52, 10735960
